question_id,db_id,difficulty,question_type,signals
58,california_schools,simple,retrieval,no_aggregate_keywords
59,california_schools,simple,retrieval,no_aggregate_keywords
60,california_schools,simple,retrieval,no_aggregate_keywords
61,california_schools,simple,aggregate,aggregate_function:COUNT
62,california_schools,challenging,aggregate,aggregate_function:COUNT
63,california_schools,simple,retrieval,no_aggregate_keywords
64,california_schools,simple,aggregate,aggregate_function:COUNT
65,california_schools,moderate,aggregate,aggregate_function:SUM
66,california_schools,simple,aggregate,aggregate_function:COUNT
67,california_schools,simple,aggregate,aggregate_function:COUNT
68,california_schools,moderate,aggregate,aggregate_function:COUNT|group_by
69,california_schools,simple,retrieval,no_aggregate_keywords
70,california_schools,simple,aggregate,aggregate_function:COUNT
71,california_schools,simple,retrieval,no_aggregate_keywords
72,california_schools,moderate,retrieval,no_aggregate_keywords
73,california_schools,simple,retrieval,no_aggregate_keywords
74,california_schools,moderate,aggregate,aggregate_function:MIN
75,california_schools,simple,retrieval,no_aggregate_keywords
76,california_schools,moderate,retrieval,no_aggregate_keywords
77,california_schools,moderate,retrieval,no_aggregate_keywords
78,california_schools,simple,aggregate,aggregate_function:COUNT|group_by
79,california_schools,moderate,aggregate,aggregate_function:COUNT|group_by
80,california_schools,simple,retrieval,no_aggregate_keywords
81,california_schools,moderate,retrieval,no_aggregate_keywords
82,california_schools,simple,retrieval,no_aggregate_keywords
83,california_schools,challenging,aggregate,aggregate_function:COUNT|group_by
84,california_schools,simple,aggregate,aggregate_function:COUNT|group_by
85,california_schools,moderate,retrieval,no_aggregate_keywords
86,california_schools,simple,retrieval,no_aggregate_keywords
87,california_schools,challenging,retrieval,no_aggregate_keywords
88,california_schools,simple,retrieval,no_aggregate_keywords
89,financial,moderate,aggregate,aggregate_function:COUNT
90,financial,simple,aggregate,aggregate_function:COUNT
91,financial,simple,aggregate,aggregate_function:AVG
92,financial,simple,aggregate,aggregate_function:COUNT
93,financial,moderate,aggregate,aggregate_function:COUNT
94,financial,challenging,aggregate,aggregate_function:MAX
95,financial,moderate,aggregate,group_by
96,financial,simple,aggregate,aggregate_function:COUNT
97,financial,simple,retrieval,no_aggregate_keywords
98,financial,moderate,retrieval,no_aggregate_keywords
99,financial,moderate,retrieval,no_aggregate_keywords
100,financial,moderate,aggregate,aggregate_function:COUNT
101,financial,simple,retrieval,no_aggregate_keywords
102,financial,simple,retrieval,no_aggregate_keywords
103,financial,simple,retrieval,no_aggregate_keywords
104,financial,simple,retrieval,no_aggregate_keywords
105,financial,simple,retrieval,no_aggregate_keywords
106,financial,simple,retrieval,no_aggregate_keywords
107,financial,simple,retrieval,no_aggregate_keywords
108,financial,simple,retrieval,no_aggregate_keywords
109,financial,simple,aggregate,aggregate_function:COUNT
110,financial,simple,retrieval,no_aggregate_keywords
111,financial,simple,aggregate,aggregate_function:COUNT
112,financial,simple,retrieval,no_aggregate_keywords
113,financial,simple,retrieval,no_aggregate_keywords
114,financial,simple,retrieval,no_aggregate_keywords
115,financial,challenging,aggregate,aggregate_function:SUM|group_by
116,financial,challenging,aggregate,aggregate_function:SUM
117,financial,moderate,aggregate,aggregate_function:SUM
118,financial,moderate,aggregate,aggregate_function:SUM
119,financial,moderate,retrieval,no_aggregate_keywords
120,financial,moderate,retrieval,no_aggregate_keywords
121,financial,simple,retrieval,no_aggregate_keywords
122,financial,simple,retrieval,no_aggregate_keywords
123,financial,simple,retrieval,no_aggregate_keywords
124,financial,simple,retrieval,no_aggregate_keywords
125,financial,challenging,retrieval,no_aggregate_keywords
126,financial,simple,aggregate,aggregate_function:SUM
127,financial,simple,retrieval,no_aggregate_keywords
128,financial,moderate,aggregate,aggregate_function:COUNT|group_by
129,financial,moderate,retrieval,no_aggregate_keywords
130,financial,moderate,aggregate,aggregate_function:COUNT
131,financial,moderate,aggregate,aggregate_function:SUM|group_by
132,financial,simple,aggregate,aggregate_function:AVG
133,financial,simple,retrieval,no_aggregate_keywords
134,financial,simple,aggregate,aggregate_function:COUNT|group_by
135,financial,moderate,aggregate,aggregate_function:COUNT
136,financial,moderate,aggregate,aggregate_function:COUNT
137,financial,moderate,aggregate,aggregate_function:COUNT
138,financial,moderate,aggregate,aggregate_function:COUNT
139,financial,simple,aggregate,aggregate_function:COUNT
140,financial,simple,aggregate,aggregate_function:COUNT
141,financial,simple,aggregate,aggregate_function:SUM|group_by|having
142,financial,simple,retrieval,no_aggregate_keywords
143,financial,simple,retrieval,no_aggregate_keywords
144,financial,moderate,aggregate,aggregate_function:AVG
145,financial,moderate,aggregate,aggregate_function:AVG
146,financial,simple,retrieval,no_aggregate_keywords
147,financial,simple,aggregate,aggregate_function:COUNT
148,financial,moderate,retrieval,no_aggregate_keywords
149,financial,challenging,retrieval,no_aggregate_keywords
150,financial,moderate,aggregate,aggregate_function:COUNT
151,financial,moderate,retrieval,no_aggregate_keywords
152,financial,moderate,aggregate,aggregate_function:AVG
153,financial,simple,aggregate,aggregate_function:COUNT
154,financial,simple,aggregate,aggregate_function:COUNT
155,financial,simple,aggregate,aggregate_function:SUM
156,financial,simple,retrieval,no_aggregate_keywords
157,financial,simple,retrieval,no_aggregate_keywords
158,financial,simple,retrieval,no_aggregate_keywords
159,financial,simple,retrieval,no_aggregate_keywords
160,financial,simple,aggregate,aggregate_function:COUNT
161,financial,simple,retrieval,no_aggregate_keywords
162,financial,simple,retrieval,no_aggregate_keywords
163,financial,moderate,aggregate,aggregate_function:COUNT|group_by
164,financial,simple,retrieval,no_aggregate_keywords
165,financial,simple,retrieval,no_aggregate_keywords
166,financial,simple,aggregate,aggregate_function:COUNT
167,financial,simple,retrieval,no_aggregate_keywords
168,financial,moderate,aggregate,aggregate_function:SUM
169,financial,challenging,aggregate,aggregate_function:SUM
170,financial,simple,aggregate,aggregate_function:COUNT
171,financial,moderate,aggregate,aggregate_function:SUM
172,financial,simple,aggregate,aggregate_function:SUM
173,financial,challenging,aggregate,aggregate_function:SUM|group_by
174,financial,simple,retrieval,no_aggregate_keywords
175,financial,moderate,aggregate,aggregate_function:COUNT
176,financial,simple,retrieval,no_aggregate_keywords
177,financial,simple,retrieval,no_aggregate_keywords
178,financial,simple,retrieval,no_aggregate_keywords
179,financial,simple,aggregate,aggregate_function:SUM
180,financial,moderate,retrieval,no_aggregate_keywords
181,financial,simple,retrieval,no_aggregate_keywords
182,financial,moderate,aggregate,aggregate_function:COUNT
183,financial,simple,aggregate,aggregate_function:COUNT
184,financial,simple,aggregate,aggregate_function:COUNT
185,financial,moderate,aggregate,aggregate_function:SUM
186,financial,moderate,aggregate,aggregate_function:SUM
187,financial,simple,aggregate,aggregate_function:COUNT
188,financial,moderate,retrieval,no_aggregate_keywords
189,financial,moderate,retrieval,no_aggregate_keywords
190,financial,simple,aggregate,aggregate_function:COUNT
191,financial,simple,aggregate,aggregate_function:COUNT
192,financial,moderate,aggregate,aggregate_function:AVG
193,financial,moderate,retrieval,no_aggregate_keywords
194,financial,moderate,retrieval,no_aggregate_keywords
195,toxicology,simple,aggregate,aggregate_function:COUNT|group_by
196,toxicology,simple,aggregate,aggregate_function:COUNT
197,toxicology,moderate,aggregate,aggregate_function:AVG|group_by
198,toxicology,challenging,aggregate,aggregate_function:AVG|group_by
199,toxicology,simple,aggregate,aggregate_function:COUNT
200,toxicology,simple,retrieval,no_aggregate_keywords
201,toxicology,moderate,aggregate,aggregate_function:COUNT
202,toxicology,simple,aggregate,aggregate_function:COUNT
203,toxicology,simple,aggregate,aggregate_function:COUNT
204,toxicology,simple,aggregate,aggregate_function:COUNT
205,toxicology,simple,retrieval,no_aggregate_keywords
206,toxicology,challenging,retrieval,no_aggregate_keywords
207,toxicology,challenging,retrieval,no_aggregate_keywords
208,toxicology,moderate,aggregate,aggregate_function:COUNT|group_by
209,toxicology,simple,retrieval,no_aggregate_keywords
210,toxicology,simple,retrieval,no_aggregate_keywords
211,toxicology,simple,retrieval,no_aggregate_keywords
212,toxicology,challenging,aggregate,aggregate_function:COUNT|group_by
213,toxicology,moderate,retrieval,no_aggregate_keywords
214,toxicology,simple,retrieval,no_aggregate_keywords
215,toxicology,challenging,aggregate,aggregate_function:COUNT
216,toxicology,simple,retrieval,no_aggregate_keywords
217,toxicology,simple,retrieval,no_aggregate_keywords
218,toxicology,challenging,aggregate,aggregate_function:COUNT
219,toxicology,challenging,aggregate,aggregate_function:COUNT
220,toxicology,challenging,retrieval,no_aggregate_keywords
221,toxicology,simple,retrieval,no_aggregate_keywords
222,toxicology,moderate,aggregate,aggregate_function:COUNT
223,toxicology,simple,retrieval,no_aggregate_keywords
224,toxicology,simple,retrieval,no_aggregate_keywords
225,toxicology,simple,retrieval,no_aggregate_keywords
226,toxicology,moderate,aggregate,aggregate_function:COUNT
227,toxicology,simple,aggregate,aggregate_function:COUNT
228,toxicology,moderate,aggregate,aggregate_function:COUNT
229,toxicology,simple,retrieval,no_aggregate_keywords
230,toxicology,challenging,retrieval,no_aggregate_keywords
231,toxicology,challenging,aggregate,aggregate_function:COUNT|group_by
232,toxicology,moderate,retrieval,no_aggregate_keywords
233,toxicology,simple,retrieval,no_aggregate_keywords
234,toxicology,moderate,aggregate,aggregate_function:COUNT
235,toxicology,simple,aggregate,aggregate_function:COUNT
236,toxicology,moderate,retrieval,no_aggregate_keywords
237,toxicology,moderate,retrieval,no_aggregate_keywords
238,toxicology,simple,aggregate,aggregate_function:COUNT
239,toxicology,simple,aggregate,aggregate_function:COUNT
240,toxicology,challenging,retrieval,no_aggregate_keywords
241,toxicology,simple,aggregate,aggregate_function:COUNT
242,toxicology,moderate,retrieval,no_aggregate_keywords
243,toxicology,moderate,retrieval,no_aggregate_keywords
244,toxicology,moderate,aggregate,aggregate_function:COUNT|group_by
245,toxicology,moderate,aggregate,aggregate_function:COUNT
246,toxicology,moderate,retrieval,no_aggregate_keywords
247,toxicology,challenging,retrieval,no_aggregate_keywords
248,toxicology,simple,retrieval,no_aggregate_keywords
249,toxicology,challenging,retrieval,no_aggregate_keywords
250,toxicology,moderate,aggregate,aggregate_function:COUNT|group_by
251,toxicology,moderate,aggregate,aggregate_function:COUNT|group_by
252,toxicology,simple,retrieval,no_aggregate_keywords
253,toxicology,challenging,retrieval,no_aggregate_keywords
254,toxicology,moderate,aggregate,aggregate_function:COUNT|group_by
255,toxicology,moderate,aggregate,aggregate_function:COUNT
256,toxicology,simple,aggregate,aggregate_function:COUNT
257,toxicology,simple,retrieval,no_aggregate_keywords
258,toxicology,moderate,retrieval,no_aggregate_keywords
259,toxicology,simple,aggregate,aggregate_function:COUNT
260,toxicology,moderate,aggregate,aggregate_function:COUNT
261,toxicology,simple,retrieval,no_aggregate_keywords
262,toxicology,simple,retrieval,no_aggregate_keywords
263,toxicology,challenging,aggregate,aggregate_function:COUNT
264,toxicology,simple,retrieval,no_aggregate_keywords
265,toxicology,simple,retrieval,no_aggregate_keywords
266,toxicology,simple,aggregate,aggregate_function:COUNT
267,toxicology,moderate,retrieval,no_aggregate_keywords
268,toxicology,challenging,retrieval,no_aggregate_keywords
269,toxicology,simple,aggregate,aggregate_function:COUNT
270,toxicology,moderate,aggregate,aggregate_function:COUNT|group_by
271,toxicology,simple,retrieval,no_aggregate_keywords
272,toxicology,moderate,retrieval,no_aggregate_keywords
273,toxicology,moderate,aggregate,aggregate_function:COUNT
274,toxicology,simple,retrieval,no_aggregate_keywords
275,toxicology,simple,retrieval,no_aggregate_keywords
276,toxicology,simple,retrieval,no_aggregate_keywords
277,toxicology,challenging,retrieval,no_aggregate_keywords
278,toxicology,simple,aggregate,aggregate_function:COUNT
279,toxicology,simple,retrieval,no_aggregate_keywords
280,toxicology,moderate,retrieval,no_aggregate_keywords
281,toxicology,challenging,retrieval,no_aggregate_keywords
282,toxicology,challenging,aggregate,aggregate_function:COUNT|group_by
283,toxicology,moderate,retrieval,no_aggregate_keywords
284,toxicology,moderate,retrieval,no_aggregate_keywords
285,toxicology,challenging,retrieval,no_aggregate_keywords
286,toxicology,simple,aggregate,aggregate_function:COUNT
287,toxicology,moderate,aggregate,aggregate_function:COUNT
288,toxicology,simple,retrieval,no_aggregate_keywords
289,toxicology,simple,retrieval,no_aggregate_keywords
290,toxicology,challenging,retrieval,no_aggregate_keywords
291,toxicology,simple,aggregate,aggregate_function:COUNT
292,toxicology,simple,retrieval,no_aggregate_keywords
293,toxicology,simple,aggregate,aggregate_function:COUNT
294,toxicology,simple,retrieval,no_aggregate_keywords
295,toxicology,simple,aggregate,aggregate_function:COUNT
296,toxicology,simple,retrieval,no_aggregate_keywords
297,toxicology,simple,retrieval,no_aggregate_keywords
298,toxicology,moderate,aggregate,aggregate_function:COUNT
299,toxicology,simple,retrieval,no_aggregate_keywords
300,toxicology,simple,retrieval,no_aggregate_keywords
301,toxicology,simple,retrieval,no_aggregate_keywords
302,toxicology,challenging,retrieval,no_aggregate_keywords
303,toxicology,moderate,aggregate,aggregate_function:COUNT|group_by
304,toxicology,challenging,retrieval,no_aggregate_keywords
305,toxicology,simple,retrieval,no_aggregate_keywords
306,toxicology,challenging,retrieval,no_aggregate_keywords
307,toxicology,challenging,retrieval,no_aggregate_keywords
308,toxicology,simple,aggregate,aggregate_function:COUNT
309,toxicology,simple,aggregate,aggregate_function:COUNT|group_by
310,toxicology,moderate,aggregate,aggregate_function:COUNT
311,toxicology,simple,aggregate,aggregate_function:COUNT
312,toxicology,simple,retrieval,no_aggregate_keywords
313,toxicology,simple,aggregate,aggregate_function:COUNT
314,toxicology,simple,aggregate,aggregate_function:COUNT
315,toxicology,simple,retrieval,no_aggregate_keywords
316,toxicology,simple,retrieval,no_aggregate_keywords
317,toxicology,moderate,aggregate,aggregate_function:COUNT
318,toxicology,simple,retrieval,no_aggregate_keywords
319,toxicology,challenging,aggregate,aggregate_function:COUNT
320,toxicology,moderate,retrieval,no_aggregate_keywords
321,toxicology,simple,retrieval,no_aggregate_keywords
322,toxicology,challenging,retrieval,no_aggregate_keywords
323,toxicology,simple,retrieval,no_aggregate_keywords
324,toxicology,simple,aggregate,aggregate_function:COUNT
325,toxicology,simple,aggregate,aggregate_function:COUNT
326,toxicology,simple,retrieval,no_aggregate_keywords
327,toxicology,moderate,aggregate,aggregate_function:COUNT|group_by|having
328,toxicology,challenging,retrieval,no_aggregate_keywords
329,toxicology,moderate,aggregate,aggregate_function:COUNT|group_by
330,toxicology,challenging,aggregate,aggregate_function:SUM
331,toxicology,simple,aggregate,aggregate_function:COUNT
332,toxicology,simple,aggregate,aggregate_function:COUNT
333,toxicology,simple,aggregate,aggregate_function:COUNT
334,toxicology,challenging,retrieval,no_aggregate_keywords
335,toxicology,simple,aggregate,aggregate_function:COUNT
336,toxicology,simple,aggregate,aggregate_function:COUNT
337,toxicology,challenging,retrieval,no_aggregate_keywords
338,toxicology,moderate,retrieval,no_aggregate_keywords
339,toxicology,simple,retrieval,no_aggregate_keywords
340,card_games,simple,retrieval,no_aggregate_keywords
341,card_games,simple,retrieval,no_aggregate_keywords
342,card_games,simple,retrieval,no_aggregate_keywords
343,card_games,simple,retrieval,no_aggregate_keywords
344,card_games,moderate,retrieval,no_aggregate_keywords
345,card_games,moderate,retrieval,no_aggregate_keywords
346,card_games,moderate,retrieval,no_aggregate_keywords
347,card_games,moderate,retrieval,no_aggregate_keywords
348,card_games,simple,retrieval,no_aggregate_keywords
349,card_games,moderate,aggregate,aggregate_function:COUNT|group_by|having
350,card_games,simple,retrieval,no_aggregate_keywords
351,card_games,simple,retrieval,no_aggregate_keywords
352,card_games,moderate,aggregate,aggregate_function:SUM
353,card_games,simple,retrieval,no_aggregate_keywords
354,card_games,simple,aggregate,aggregate_function:COUNT
355,card_games,simple,retrieval,no_aggregate_keywords
356,card_games,simple,aggregate,aggregate_function:COUNT
357,card_games,simple,retrieval,no_aggregate_keywords
358,card_games,simple,retrieval,no_aggregate_keywords
359,card_games,simple,retrieval,no_aggregate_keywords
360,card_games,moderate,retrieval,no_aggregate_keywords
361,card_games,simple,aggregate,aggregate_function:COUNT
362,card_games,simple,retrieval,no_aggregate_keywords
363,card_games,simple,aggregate,aggregate_function:COUNT
364,card_games,simple,retrieval,no_aggregate_keywords
365,card_games,simple,retrieval,no_aggregate_keywords
366,card_games,simple,retrieval,no_aggregate_keywords
367,card_games,simple,retrieval,no_aggregate_keywords
368,card_games,simple,aggregate,aggregate_function:SUM
369,card_games,simple,aggregate,aggregate_function:COUNT
370,card_games,simple,aggregate,aggregate_function:COUNT
371,card_games,challenging,aggregate,aggregate_function:SUM
372,card_games,simple,aggregate,aggregate_function:COUNT
373,card_games,simple,retrieval,no_aggregate_keywords
374,card_games,simple,aggregate,aggregate_function:COUNT
375,card_games,simple,retrieval,no_aggregate_keywords
376,card_games,simple,retrieval,no_aggregate_keywords
377,card_games,simple,aggregate,aggregate_function:COUNT
378,card_games,simple,retrieval,no_aggregate_keywords
379,card_games,simple,retrieval,no_aggregate_keywords
380,card_games,simple,retrieval,no_aggregate_keywords
381,card_games,simple,retrieval,no_aggregate_keywords
382,card_games,simple,retrieval,no_aggregate_keywords
383,card_games,simple,aggregate,aggregate_function:COUNT
384,card_games,simple,retrieval,no_aggregate_keywords
385,card_games,simple,retrieval,no_aggregate_keywords
386,card_games,simple,aggregate,aggregate_function:COUNT
387,card_games,simple,retrieval,no_aggregate_keywords
388,card_games,simple,retrieval,no_aggregate_keywords
389,card_games,simple,retrieval,no_aggregate_keywords
390,card_games,simple,retrieval,no_aggregate_keywords
391,card_games,moderate,retrieval,no_aggregate_keywords
392,card_games,simple,retrieval,no_aggregate_keywords
393,card_games,simple,aggregate,aggregate_function:COUNT
394,card_games,simple,aggregate,aggregate_function:COUNT
395,card_games,simple,aggregate,aggregate_function:COUNT
396,card_games,simple,aggregate,aggregate_function:COUNT
397,card_games,moderate,retrieval,no_aggregate_keywords
398,card_games,simple,retrieval,no_aggregate_keywords
399,card_games,simple,retrieval,no_aggregate_keywords
400,card_games,simple,retrieval,no_aggregate_keywords
401,card_games,moderate,aggregate,aggregate_function:SUM
402,card_games,moderate,aggregate,aggregate_function:SUM
403,card_games,simple,aggregate,aggregate_function:SUM
404,card_games,simple,retrieval,no_aggregate_keywords
405,card_games,moderate,aggregate,aggregate_function:COUNT
406,card_games,simple,retrieval,no_aggregate_keywords
407,card_games,moderate,retrieval,no_aggregate_keywords
408,card_games,moderate,retrieval,no_aggregate_keywords
409,card_games,moderate,aggregate,aggregate_function:COUNT
410,card_games,simple,retrieval,no_aggregate_keywords
411,card_games,simple,retrieval,no_aggregate_keywords
412,card_games,moderate,retrieval,no_aggregate_keywords
413,card_games,simple,aggregate,aggregate_function:COUNT
414,card_games,simple,retrieval,no_aggregate_keywords
415,card_games,challenging,aggregate,aggregate_function:SUM
416,card_games,challenging,aggregate,aggregate_function:SUM
417,card_games,moderate,aggregate,aggregate_function:SUM
418,card_games,simple,retrieval,no_aggregate_keywords
419,card_games,simple,aggregate,aggregate_function:COUNT
420,card_games,simple,aggregate,aggregate_function:COUNT
421,card_games,simple,retrieval,no_aggregate_keywords
422,card_games,simple,retrieval,no_aggregate_keywords
423,card_games,simple,retrieval,no_aggregate_keywords
424,card_games,simple,aggregate,aggregate_function:SUM
425,card_games,simple,retrieval,no_aggregate_keywords
426,card_games,simple,retrieval,no_aggregate_keywords
427,card_games,moderate,retrieval,no_aggregate_keywords
428,card_games,simple,aggregate,group_by
429,card_games,simple,retrieval,no_aggregate_keywords
430,card_games,simple,retrieval,no_aggregate_keywords
431,card_games,challenging,retrieval,no_aggregate_keywords
432,card_games,moderate,aggregate,group_by
433,card_games,moderate,aggregate,aggregate_function:SUM
434,card_games,moderate,aggregate,aggregate_function:COUNT
435,card_games,simple,aggregate,group_by
436,card_games,simple,aggregate,group_by
437,card_games,simple,retrieval,no_aggregate_keywords
438,card_games,simple,retrieval,no_aggregate_keywords
439,card_games,simple,retrieval,no_aggregate_keywords
440,card_games,simple,retrieval,no_aggregate_keywords
441,card_games,simple,retrieval,no_aggregate_keywords
442,card_games,simple,retrieval,no_aggregate_keywords
443,card_games,simple,aggregate,group_by
444,card_games,simple,retrieval,no_aggregate_keywords
445,card_games,simple,retrieval,no_aggregate_keywords
446,card_games,moderate,aggregate,aggregate_function:SUM
447,card_games,simple,retrieval,no_aggregate_keywords
448,card_games,simple,retrieval,no_aggregate_keywords
449,card_games,simple,retrieval,no_aggregate_keywords
450,card_games,moderate,aggregate,aggregate_function:SUM
451,card_games,simple,aggregate,aggregate_function:SUM
452,card_games,simple,retrieval,no_aggregate_keywords
453,card_games,simple,retrieval,no_aggregate_keywords
454,card_games,simple,aggregate,aggregate_function:SUM
455,card_games,simple,retrieval,no_aggregate_keywords
456,card_games,simple,retrieval,no_aggregate_keywords
457,card_games,simple,retrieval,no_aggregate_keywords
458,card_games,simple,aggregate,aggregate_function:COUNT
459,card_games,moderate,retrieval,no_aggregate_keywords
460,card_games,simple,retrieval,no_aggregate_keywords
461,card_games,simple,retrieval,no_aggregate_keywords
462,card_games,moderate,retrieval,no_aggregate_keywords
463,card_games,simple,aggregate,aggregate_function:COUNT
464,card_games,simple,retrieval,no_aggregate_keywords
465,card_games,moderate,aggregate,aggregate_function:SUM
466,card_games,moderate,aggregate,aggregate_function:COUNT
467,card_games,simple,retrieval,no_aggregate_keywords
468,card_games,moderate,retrieval,no_aggregate_keywords
469,card_games,moderate,retrieval,no_aggregate_keywords
470,card_games,simple,retrieval,no_aggregate_keywords
471,card_games,simple,retrieval,no_aggregate_keywords
472,card_games,moderate,aggregate,aggregate_function:COUNT
473,card_games,moderate,retrieval,no_aggregate_keywords
474,card_games,moderate,aggregate,aggregate_function:COUNT
475,card_games,simple,aggregate,aggregate_function:SUM
476,card_games,simple,retrieval,no_aggregate_keywords
477,card_games,challenging,aggregate,group_by
478,card_games,simple,retrieval,no_aggregate_keywords
479,card_games,moderate,aggregate,aggregate_function:SUM
480,card_games,moderate,retrieval,no_aggregate_keywords
481,card_games,simple,retrieval,no_aggregate_keywords
482,card_games,simple,retrieval,no_aggregate_keywords
483,card_games,moderate,retrieval,no_aggregate_keywords
484,card_games,moderate,retrieval,no_aggregate_keywords
485,card_games,simple,retrieval,no_aggregate_keywords
486,card_games,moderate,aggregate,aggregate_function:SUM
487,card_games,challenging,aggregate,aggregate_function:SUM
488,card_games,simple,aggregate,group_by
489,card_games,simple,retrieval,no_aggregate_keywords
490,card_games,simple,retrieval,no_aggregate_keywords
491,card_games,simple,retrieval,no_aggregate_keywords
492,card_games,simple,retrieval,no_aggregate_keywords
493,card_games,simple,retrieval,no_aggregate_keywords
494,card_games,challenging,retrieval,no_aggregate_keywords
495,card_games,simple,retrieval,no_aggregate_keywords
496,card_games,simple,retrieval,no_aggregate_keywords
497,card_games,simple,retrieval,no_aggregate_keywords
498,card_games,moderate,retrieval,no_aggregate_keywords
499,card_games,moderate,aggregate,aggregate_function:COUNT
500,card_games,moderate,retrieval,no_aggregate_keywords
501,card_games,moderate,retrieval,no_aggregate_keywords
502,card_games,simple,retrieval,no_aggregate_keywords
503,card_games,simple,retrieval,no_aggregate_keywords
504,card_games,simple,aggregate,aggregate_function:COUNT
505,card_games,moderate,retrieval,no_aggregate_keywords
506,card_games,challenging,aggregate,aggregate_function:SUM
507,card_games,challenging,aggregate,aggregate_function:SUM
508,card_games,moderate,retrieval,no_aggregate_keywords
509,card_games,simple,retrieval,no_aggregate_keywords
510,card_games,simple,retrieval,no_aggregate_keywords
511,card_games,moderate,aggregate,aggregate_function:COUNT|group_by
512,card_games,simple,aggregate,aggregate_function:SUM
513,card_games,challenging,retrieval,no_aggregate_keywords
514,card_games,simple,retrieval,no_aggregate_keywords
515,card_games,moderate,retrieval,no_aggregate_keywords
516,card_games,moderate,aggregate,aggregate_function:COUNT|group_by
517,card_games,moderate,aggregate,aggregate_function:COUNT
518,card_games,moderate,aggregate,aggregate_function:COUNT|group_by
519,card_games,simple,retrieval,no_aggregate_keywords
520,card_games,moderate,aggregate,aggregate_function:COUNT|group_by
521,card_games,challenging,retrieval,no_aggregate_keywords
522,card_games,moderate,aggregate,group_by
523,card_games,challenging,aggregate,aggregate_function:SUM|group_by
524,card_games,simple,retrieval,no_aggregate_keywords
525,card_games,simple,retrieval,no_aggregate_keywords
526,card_games,simple,aggregate,aggregate_function:COUNT
527,card_games,moderate,retrieval,no_aggregate_keywords
528,card_games,challenging,retrieval,no_aggregate_keywords
529,card_games,moderate,retrieval,no_aggregate_keywords
530,card_games,moderate,retrieval,no_aggregate_keywords
531,codebase_community,simple,aggregate,aggregate_function:MAX
532,codebase_community,simple,retrieval,no_aggregate_keywords
533,codebase_community,simple,aggregate,aggregate_function:COUNT
